metric,day_1,day_2,day_3,day_4,day_5,day_6,day_7,target,operator_note
drivers_contacted,0,0,0,0,0,0,0,5_per_day,
drivers_onboarded,0,0,0,0,0,0,0,10_minimum_week_1,
drivers_active,0,0,0,0,0,0,0,10_minimum,
users_invited,0,0,0,0,0,0,0,100_week_3,
users_activated,0,0,0,0,0,0,0,first_ride_or_attempt,
rides_requested,0,0,0,0,0,0,0,increase_daily,
rides_completed,0,0,0,0,0,0,0,10_first_target,
ride_success_rate,0,0,0,0,0,0,0,0.95,
booking_time_median_seconds,0,0,0,0,0,0,0,lower_is_better,
pickup_reliability_rate,0,0,0,0,0,0,0,0.95,
pricing_anomaly_count,0,0,0,0,0,0,0,0,
replay_mismatch_count,0,0,0,0,0,0,0,0,
dispatch_unexplained_count,0,0,0,0,0,0,0,0,
dispute_count,0,0,0,0,0,0,0,track_and_explain,
refund_case_count,0,0,0,0,0,0,0,track_and_explain,
driver_complaint_count,0,0,0,0,0,0,0,track_and_reduce,
user_complaint_count,0,0,0,0,0,0,0,track_and_reduce,
replay_explained_incident_count,0,0,0,0,0,0,0,increase_when_incidents_occur,
operator_decision,go,go,go,go,go,go,go,go_pause_or_narrow,
